rank,entity_id,name,kind,x_handles,combined_x_followers,model_decision,model_confidence,human_decision,human_reason,model_reason,evidence_urls
11,891,Hieu Pham,person,@hyhieu226,45415,review,high,keep,Keep: recent OpenAI and xAI technical contributor now building a stealth project; direct lab evidence outweighs temporary role ambiguity.,"The supplied account is clearly a recently departed OpenAI/xAI technical contributor, but current work is not verifiable: its personal site only says “Building something new in Vietnam” and its GitHub lists “@StealthAI,” without public evidence that the new effort produces frontier-AI research, models, infrastructure, or sustained intelligence. The ambiguity is material enough to defer rather than retain based solely on past lab roles.",https://x.com/hyhieu226 | https://hyhieu.github.io/ | https://github.com/hyhieu | https://www.ndtv.com/feature/openai-employee-quits-due-to-scary-and-dangerous-mental-health-toll-i-hope-i-will-heal-11138431
12,431,Bill Peebles,person,@billpeeb,45152,review,medium,keep,"Keep: former OpenAI Sora lead and substantive world-simulation researcher, only recently outside the lab.","Peebles is clearly the former OpenAI Sora lead and a coauthor of substantive frontier video/world-simulation work, but current evidence conflicts: his personal site still says he leads Sora while reputable April 2026 reporting says he departed OpenAI. His current post-OpenAI role and likelihood of continued original output are not established.",https://www.wpeebles.com/ | https://www.cnbc.com/2026/04/17/openai-executives-leave.html | https://openai.com/index/video-generation-models-as-world-simulators/ | https://openai.com/index/sora-2/
13,120,Aleksander Madry,person,@aleks_madry,38024,review,medium,keep,Keep: active MIT Mądry Lab faculty with current frontier reasoning and safety research regardless of the changing OpenAI role.,"Mądry is a substantive frontier-ML and safety researcher, with recent OpenAI reasoning/safety contributions and an active MIT lab. However, current-role evidence conflicts: his MIT site still says he is at OpenAI, while multiple recent reports say he left OpenAI in May 2026 for an unspecified AI-economics venture. That venture’s actual technical or intelligence output is not yet established.",https://madry.mit.edu/ | https://madrylab.mit.edu/ | https://www.theverge.com/archives/openai/2026/5/1 | https://arxiv.org/abs/2601.03267 | https://arxiv.org/abs/2503.11926
14,636,Guodong Zhang,person,@guodzh,37169,review,medium,keep,"Keep: xAI co-founder and original LLM training, alignment, and optimization researcher, only recently outside the lab.","This appears to be the ML researcher and xAI co-founder whose work covers LLM training, tuning, alignment, and optimization. However, current reporting says he left xAI in March 2026, and reliable evidence does not establish a subsequent frontier-AI role or continuing original output; retain for re-check rather than rely on his historical lab connection.",https://www.cs.toronto.edu/~gdzhang/ | https://scholar.google.com/citations?hl=en&user=B_TZBtwAAAAJ | https://www.cnbc.com/2026/03/13/elon-musk-xai-co-founders-spacex-ipo.html | https://www.aol.com/articles/xai-exodus-another-cofounder-gone-154733954.html
15,178,Joshua Achiam,person,@jachiam0,29189,review,medium,keep,Keep: current/recent OpenAI Chief Futurist with deep safety and mission-alignment work; departure timing does not erase current signal.,"Achiam’s current materials identify him as OpenAI’s Chief Futurist, following AI-safety research and Mission Alignment work, but recent reporting says he has announced an imminent departure from OpenAI. His post-departure role and whether this channel will continue to produce recurring frontier-AI intelligence are not yet established.",https://jachiam.github.io/about | https://forum.openai.com/public/videos/event-replay-openais-chief-futurist-on-agi-and-whats-next-2026-02-26 | https://www.theverge.com/ai-artificial-intelligence/962540/openais-chief-futurist-is-leaving-the-company-after-nine-years
16,2266,John Myles White,person,@johnmyleswhite,27068,review,medium,keep,Keep: recently led PyTorch work at Meta Superintelligence Labs and remains a technically important infrastructure person.,"White recently left an Engineering Director role at Meta Superintelligence Labs working on PyTorch, but his current work is not publicly specified beyond “several new software projects.” Public profiles are stale and do not establish sustained frontier-AI output; his post-MSL connection remains unresolved.",https://www.youtube.com/watch?v=aPfnP4iAIH8 | https://www.youtube.com/watch?v=5MtiHk7lDvI | https://www.johnmyleswhite.com/about/ | https://github.com/johnmyleswhite
17,109,Barret Zoph,person,@barret_zoph,26077,review,medium,keep,Keep: senior OpenAI post-training leader and Thinking Machines co-founder with current affiliation ambiguity but unquestionable recent frontier work.,"Zoph has a strong frontier-AI history, including leadership and technical contributions at OpenAI, but his current work is materially unresolved: the supplied X bio says OpenAI, his personal site still says Thinking Machines, and recent reporting says he departed OpenAI in June 2026. No current primary evidence establishes an active technical role or recurring frontier-AI output.",https://x.com/barret_zoph | https://barretzoph.github.io/ | https://www.theverge.com/archives/report/2026/6/2 | https://openai.com/contributions/gpt-4/
18,1557,Tommy Collison,person,@tommycollison,25856,review,medium,remove,Remove: the Cursor role is undefined and public output centers books and ideas rather than substantive recurring AI technical work.,"Collison currently self-identifies as working at and “building” Cursor, an AI coding-agent company, but available evidence does not establish his role or show that his public channel repeatedly produces substantive technical, evaluation, or market intelligence. His stated public focus is primarily books and ideas.",https://tommycollison.com/ | https://threadreaderapp.com/user/tommycollison | https://cursor.com/
19,1678,Crystal,person,@crystalsssup,25567,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The account self-identifies as Moonshot/Kimi staff and the matching GitHub handle publishes a small browser-agent relay, but available evidence does not establish this person's exact current role, direct contribution to frontier-model work, or a sustained record of original high-value technical output.",https://x.com/crystalsssup | https://github.com/crystalsssup/ | https://github.com/crystalsssup/squirtle-extension | https://www.moonshot.ai/about
20,709,heiner,person,@heinrichkuttler,19976,review,medium,keep,"Keep: recently led xAI supercomputing and has direct frontier-compute leadership across xAI, Inflection, Meta, and DeepMind.","Identity is resolved to Heinrich “Heiner” Küttler, a substantive former frontier-AI researcher and xAI supercomputing lead. However, his current homepage describes xAI as previous employment, reporting indicates he left xAI, and no current frontier-AI role or recent original AI output is established; current work therefore remains materially uncertain.",https://heiner.ai/ | https://heiner.ai/publications/ | https://arxiv.org/a/kuttler_h_1.html | https://www.fastcompany.com/91531084/inside-the-xai-exodus
21,1516,Jack Krawczyk,person,@jackk,18572,review,medium,remove,Remove: former Gemini product lead now listed in broader Google product areas without current frontier remit or recurring technical output.,"Krawczyk clearly led Bard/Gemini product launches in 2023–24, but current evidence is conflicting/insufficient: a recent directory lists him in Google Search, Geo, Ads & Commerce rather than Gemini, while his supplied X profile is protected. His present frontier-AI remit and likelihood of repeatedly publishing usable signal therefore cannot be established.",https://blog.google/products-and-platforms/products/gemini/google-bard-gemini-pro-image-generation/ | https://blog.google/intl/en-ca/products/explore-get-answers/gemini-ca/ | https://www.theofficialboard.com/biography/jack-krawczyk-3gd4g | https://x.com/jackk
22,717,Marco Mascorro @ ICML,person,@mascobot,18322,review,medium,keep,Keep: currently researches interpretability and computer-use-agent evaluation and advises METR.,"Mascorro’s own site says he is currently researching interpretability and has a recent technical post on scaling computer-use-agent evaluation, but the public record located does not yet establish sustained original frontier research or evaluation output. His relevant GitHub Harbor repository is a fork, while METR’s advisor bio still describes an a16z role that conflicts with his current self-description as a former partner.",https://www.mascobot.com/ | https://www.mascobot.com/blog | https://github.com/Mascobot/ | https://metr.org/team/marco-mascorro/
23,1703,Zihang Dai,person,@zihangdai,17529,review,medium,keep,Keep: original frontier-model researcher with recent Gemini 2.5 authorship and foundational Transformer work.,"Dai is an original frontier-model researcher with recent authorship on Gemini 2.5 and prior foundational Transformer work, but current employment is unresolved: profiles still list Google while March 2026 reporting says he departed xAI, with no substantiated next role. Verify his post-xAI affiliation before retaining.",https://arxiv.org/abs/2507.06261v4 | https://www.aol.com/articles/xai-exodus-another-cofounder-gone-154733954.html | https://zihangdai.github.io/ | https://openreview.net/profile?id=~Zihang_Dai1
24,486,Scott Reed,person,@scott_e_reed,17077,review,medium,keep,Keep: recent NVIDIA GEAR founding researcher with substantive current embodied-AI and robot-learning publications.,"This appears to be the embodied-AI researcher who coauthored substantive 2025 robot-learning work, but current status is contradictory: his recently updated personal site says he was previously an NVIDIA principal research scientist and GEAR founding member (2024–2026), while NVIDIA still lists him as current. There is insufficient evidence of his present role or continuing output after that departure.",https://reedscot.github.io/ | https://research.nvidia.com/person/scott-reed | https://arxiv.org/abs/2505.15659 | https://arxiv.org/abs/2503.24361
25,1528,Phil Chen,person,@philhchen,16792,review,medium,keep,Keep: former OpenAI/DeepMind researcher now building an agent-native startup; current posts remain directly AI technical.,"The supplied X identity appears to be a former OpenAI/Google DeepMind researcher now building an undisclosed, agent-native startup. Current posts show potentially useful operational views on agent use and token budgets, but no named company, product, technical publications, or other primary evidence establishes that this exact entity will repeatedly produce substantive frontier-AI intelligence.",https://x.com/philhchen | https://digg.com/u/x/philhchen | https://elementapp.ai/blog/career-in-the-age-of-ai-agents-phil-chen/ | https://digg.com/tech/397ygzy0
26,2443,Aryan Sharma,person,@aryxnsharma,16561,review,medium,remove,Remove: browser-agent startup was acquired and no current role or continuing technical output is established.,"Sharma founded Induced, an AI-native browser-agent company, but his current site says Induced was acquired in late 2025 and does not identify a current role or ongoing frontier-AI work. Induced's live developer documentation suggests the product remains active, but Sharma's present connection and likelihood of producing recurring signal are unresolved.",https://www.aryxnsharma.com/ | https://www.induced.ai/ | https://docs.induced.ai/introduction | https://careers.induced.ai/
27,734,Xuechen Li,person,@lxuechen,14798,review,medium,keep,Keep: original LLM/privacy researcher and recent xAI engineer with public model and code artifacts.,"Identity and frontier-AI credentials are well supported: Li has published original LLM/privacy work and maintained public model/code artifacts; he was also an xAI engineer who helped develop Grok. However, current employment and whether he is actively producing public frontier-AI signal cannot be confirmed. Reporting on an intended 2025 OpenAI move stems from litigation allegations, while the case remained active in 2026.",https://arxiv.org/abs/2110.05679 | https://huggingface.co/lxuechen | https://www.cnbc.com/2025/08/29/musks-xai-sues-engineer-for-allegedly-taking-secrets-to-openai.html | https://dockets.justia.com/docket/california/candce/3%3A2025cv07292/455409
28,2390,TDM (e/λ) (L8 vibe coder 💫),person,@cto_junior,13902,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The account claimed participation in Aide/CodeStory’s 2024 SWE-bench agent result, which would be material frontier-AI work, but no first-party source links @cto_junior to Aide/CodeStory’s identified founders or establishes a current technical role. Its present identity and durable connection to original AI work therefore remain unverified.",https://x.com/cto_junior | https://aide.dev/blog/sota-bitter-lesson | https://www.ycombinator.com/companies/codestory | https://github.com/codestoryai
29,349,David Luan,person,@jluan,12499,review,high,keep,Keep: recently led Amazon's AGI lab and Nova Act agent work; only recently outside the lab.,"Luan recently led Amazon's AGI lab and the Nova Act agent effort, but announced his departure in February 2026 to pursue an unspecified next project; his supplied X bio says “retired.” His current work is therefore not established sufficiently to show recurring frontier-AI output.",https://x.com/jluan | https://www.cnbc.com/2026/02/24/head-of-amazons-agi-lab-is-leaving-the-company.html | https://www.davidluan.com/
30,1732,alex schultz 🏳️‍🌈,person,@alexschultz,11857,review,medium,remove,Remove: Meta data/analytics executive role is AI-adjacent but not frontier-model work or a recurring original intelligence source.,"This is the Meta executive: he was recently made Meta’s first Chief Data Officer and now leads AI-led analytics, data science, data engineering, competitive intelligence, and user research. That is a material AI-adjacent role, but current evidence does not yet establish direct frontier-model work or a repeated record of publishing substantive technical or investment-relevant intelligence from the supplied account.",https://www.meta.com/about/leadership/alex-schultz/ | https://www.axios.com/2026/07/01/meta-alex-schultz-chief-data-officer
31,769,Fei Xia,person,@xf1280,11808,review,medium,keep,Keep: clearly identified frontier embodied-AI/VLA researcher with current recent publications despite affiliation ambiguity.,"The supplied X bio says he is former Google DeepMind staff, but his personal homepage and verified Scholar profile still identify him as a Google DeepMind robotics researcher. His work is clearly frontier embodied AI/VLA research, but his present role after leaving DeepMind is not established.",https://x.com/xf1280 | https://fxia22.github.io/ | https://scholar.google.com/citations?hl=en&user=pqP5_PgAAAAJ | https://arxiv.org/abs/2506.06196 | https://deepmind.google/blog/rt-2-new-model-translates-vision-and-language-into-action/
32,2424,Grad,person,@grad62304977,9282,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The pseudonymous account posts technically substantive LLM-training and RL analysis and has been credited with an early NanoGPT speedrun improvement. It also claims work connected to Prime Intellect’s INTELLECT-3, but no first-party team page, publication authorship, or repository identity reliably ties this exact account to that work or establishes an ongoing original research role.",https://x.com/grad62304977 | https://www.tylerromero.com/posts/nanogpt-speedrun/ | https://digg.com/tech/g4frvha6 | https://arxiv.org/abs/2512.16144
33,2584,Shawn Presser,person,@theshawwn,9140,review,medium,remove,Remove: meaningful Books3/Groq history is stale and no current frontier role or recent original output is established.,"Identity resolves to the Tensorfork/Books3 contributor and former Groq/Keen employee, with meaningful historical frontier-ML work. However, his first-party bio and resume place those roles/projects in 2019–2022, and current evidence does not clearly establish a present frontier-AI role or a sustained stream of recent original research or technical outputs. Active public coding alone is insufficient to confirm repeated current frontier signal.",https://shawwn.net/bio | https://shawwn.net/docs/shawn-presser-resume.pdf | https://github.com/shawwn | https://github.com/shawwn/olmax | https://scholar.google.com/citations?hl=en&user=VByV26EAAAAJ
34,1336,mat kelcey,person,@mat_kelcey,9022,review,medium,remove,Remove: prior TinyML and applied-ML work is historical and no current frontier role or continuing original output is established.,"Identity resolves to the ML researcher and former Google Brain/Edge Impulse contributor, with substantive prior work in NLP, robotics, and TinyML. However, current role is unclear: Thoughtworks lists him as an alumnus, while his Scholar profile still lists Edge Impulse; the available evidence does not establish a current role or a continuing stream of frontier-AI-relevant original output.",https://www.thoughtworks.com/profiles/service-line-leads/mat-kelcey | https://scholar.google.com/citations?hl=en&user=DXpZ1lkAAAAJ | https://arxiv.org/pdf/2212.03332 | https://github.com/matpalm
35,1248,Thomas Dimson,person,@turtlesoupy,8413,review,medium,keep,Keep: recent OpenAI MTS now building a current AI project; remains directly within the recently-outside-lab boundary.,"Identity is confirmed, but current frontier-AI connection is contradictory: his personal site says he is OpenAI MTS, while the linked X identity describes him as ex-MTS and recent reporting describes a post-OpenAI AI vanity-search project. The current work and likelihood of sustained frontier signal require resolution.",https://www.thomasdimson.com/ | https://x.com/turtlesoupy | https://threadreaderapp.com/user/turtlesoupy | https://techcrunch.com/2026/06/20/in-the-weights-is-your-new-ai-centric-vanity-search/ | https://openai.com/index/openai-acquires-global-illumination/
36,2512,Manuarii,person,@manuarii,7778,review,high,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The supplied X handle has no accessible bio or attributable public work, and searches did not resolve it to a specific person or organization connected to frontier AI, evaluation/safety, AI-native technology, or specialist infrastructure intelligence.",https://x.com/manuarii
37,336,Irwan Bello,person,@irwanbello,7362,review,medium,keep,Keep: recent Reflection AI post-training lead starting a new AI/research/compute effort.,"Bello has a strong record of original ML research and recent post-training work at Reflection AI, but current evidence says only that he is “starting something new” in 2026 and does not identify an active lab, venture, or continuing technical publication stream. A current repeatable frontier-AI signal is therefore not established.",https://irwanbello.github.io/ | https://scholar.google.com/citations?hl=en&user=mY6p8gcAAAAJ | https://research.google/pubs/attention-augmented-convolutional-networks/
38,1488,Kevin Kwok,person,@antimatter15,5710,review,medium,keep,"Keep: unusually substantive independent model engineering, including public Gemma 3n reverse engineering.","Kwok has produced unusually substantive model-engineering work, including reverse-engineering Gemma 3n, but current output is sparse and eclectic, so repeated frontier-AI signal is not yet established.",https://github.com/antimatter15/reverse-engineering-gemma-3n | https://github.com/antimatter15 | https://x.com/antimatter15/status/1926459076856131601 | https://antimatter15.com/
39,1814,Mark Reid,person,@mdreid,5316,review,medium,remove,Remove: stale Apple ML role and largely nontechnical current public output do not meet the recurring-signal boundary.,"The likely identity is a current Apple machine-learning engineer with earlier learning-theory publications, but available first-party evidence does not establish a current frontier-AI research role or recurring public technical output. The personal site was last updated in 2022 and lists publications only through 2015; the currently active social presence is largely non-technical. The supplied X identity also could not be independently linked to the professional site.",https://mark.reid.name/ | https://mark.reid.name/work/ | https://mark.reid.name/work/pubs/ | https://mastodon.social/@mdreid
40,2558,Amanpreet Singh,person,@apsdehal,5110,review,high,keep,"Keep: recent Contextual AI CTO and substantive multimodal, evaluation, MoE, and alignment researcher.","This is the former Contextual AI CTO and a substantive multimodal/LLM researcher with 2024 work in evaluation, MoE models, and alignment. However, his current first-party profile says only that he is “exploring new possibilities” and identifies Contextual AI, Hugging Face, and Meta as prior roles; no current lab, company, or research program is established. The exact current frontier-AI connection is therefore unresolved.",https://apsdehal.in/ | https://github.com/apsdehal | https://contextual.ai/blog/platform-benchmarks-2025
41,1040,Jonathan Ho,person,@hojonathanho,4676,review,medium,keep,Keep: foundational diffusion/classifier-free-guidance researcher and Ideogram co-founder with plausible current frontier work.,"Jonathan Ho is the DDPM and classifier-free-guidance researcher and was associated with Ideogram’s generative-AI founding effort, but current first-party evidence does not establish an active lab role or recent original output; his personal site and listed publications are stale. A current Meta research role appears in directory data but is not independently confirmed.",https://www.jonathanho.me/ | https://arxiv.org/abs/2006.11239 | https://arxiv.org/abs/2207.12598 | https://ideogram.ai/launch | https://rocketreach.co/jonathan-ho-email_2896072
42,1395,Danny Hernandez,person,@hernandez_danny,4594,review,medium,remove,"Remove: substantive OpenAI/Anthropic work is historical, with no verified current lab role or recent output.","The supplied X handle is linked from this Danny Hernandez’s GitHub profile, and he has substantive OpenAI/Anthropic alignment and scaling research. However, the available first-party evidence is historical (principally 2020–2023), while the linked GitHub shows no recent activity and no current lab role is confirmed. His present frontier-AI work therefore remains materially uncertain.",https://github.com/DannyHernandez | https://www.anthropic.com/research/training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback | https://www.anthropic.com/research/scaling-laws-and-interpretability-of-learning-from-repeated-data | https://openai.com/index/ai-and-efficiency/
43,2377,younes,person,@yb2698,3772,review,high,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The supplied X account has no bio or publicly discoverable material that resolves Younes’s identity, employer, research output, or current connection to frontier AI. The exact entity therefore cannot be confidently classified as in- or out-of-scope.",https://x.com/yb2698 | https://twitter.com/yb2698
44,2058,Qi Lei,person,@qi_lei_,3738,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"Qi Lei at NYU appears to be an active ML/AI-safety researcher with recent work on iterative self-improvement, data reconstruction, and chain-of-thought, but accessible evidence does not reliably link the supplied X handle @qi_lei_ to that specific researcher rather than another person with the same name.",https://x.com/qi_lei_ | https://cecilialeiqi.github.io/ | https://cecilialeiqi.github.io/papers.html | https://cds.nyu.edu/team/qi-lei/
45,1089,Hugh Zhang,person,@hughbzhang,3510,review,medium,keep,Keep: recent SSI/Scale researcher with substantive current evaluation work including GSM1k and Humanity's Last Exam.,"Zhang has substantial recent frontier-evaluation credentials, including Scale AI work on GSM1k and an organizing role on Humanity’s Last Exam. However, his own current bio says he previously worked at SSI and Scale AI without identifying a present role or active research affiliation; current recurring frontier-AI output cannot be established confidently.",https://hughbzhang.com/ | https://arxiv.org/abs/2405.00332 | https://agi.safe.ai/ | https://arxiv.org/abs/2501.14249
46,2621,Moonvalley,organization,@moonvalley,2948,review,medium,keep,"Keep: Moonvalley still operates the Marey generative-video model; any Reka consolidation is an identity decision, not a relevance deletion.","Moonvalley’s active site still presents Marey as a foundational, licensed AI video model, but a June 2026 announcement says Moonvalley merged with Reka and its research leadership and team moved to Reka. It is therefore unclear whether this exact entity/channel remains an independent, recurring source of frontier-AI intelligence.",https://www.moonvalley.com/marey | https://www.moonvalley.com/team | https://reka.ai/news/reka-and-moonvalley-join-forces-to-advance-models-and-infrastructure-for-physical-ai
47,1898,Niru Maheswaranathan,person,@niru_m,2896,review,medium,remove,"Remove: current Meta Reality Labs work centers neural-interface/HCI research rather than frontier models, evaluations, or AI infrastructure.","Maheswaranathan is currently a Meta Reality Labs research scientist working on neural interfaces and was a collaborator on a 2025 Nature neuromotor-interface paper. He also has a strong prior record in machine learning and learned optimization. However, current public evidence places his primary work in neural-interface/HCI research rather than clearly in frontier-model development, AI evaluation/safety, or AI-native infrastructure, so the recurring frontier-AI signal is not established.",https://www.niru.dev/about/ | https://pubmed.ncbi.nlm.nih.gov/40702190/ | https://openreview.net/profile?id=~Niru_Maheswaranathan1 | https://scholar.google.com/citations?hl=en&user=bEOT7ScAAAAJ
48,2589,Eric Rachlin,person,@eerac,2473,review,medium,remove,Remove: historical computer-vision credentials and current vertical-software AI strategy content do not establish recurring frontier intelligence.,"Rachlin has credible historical computer-vision/ML work (MPI, Body Labs, Amazon), and third-party listings place him at SceniX, a robotics-simulation company. But current first-party evidence does not establish his role, technical output, or a repeated stream of original frontier-AI intelligence; his other visible current work is AI strategy/product content for vertical software.",https://scenix.ai/ | https://cs.brown.edu/people/erachlin/ | https://www.amazon.science/author/eric-rachlin | https://withcount.com/news/kickstarting-your-ai-journey-going-from-average-to-amazing/ | https://rocketreach.co/eric-rachlin-email_2527299
49,1255,Matthew Peters,person,@mattthemathman,2264,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The supplied X handle resolves, but current publicly accessible evidence does not establish that this exact Matthew Peters is engaged in frontier-AI research, a lab role, evaluations, AI-native technical work, or specialist AI/compute intelligence.",https://x.com/mattthemathman
50,1199,Tianyi Zhang,person,@tianyi_zh,1866,review,low,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"A current Together AI researcher named Tianyi Zhang publishes substantive LLM-inference work, but the supplied @tianyi_zh account cannot be reliably linked to that person; multiple distinct Tianyi Zhang identities are present in current web evidence.",https://openreview.net/profile?id=~Tianyi_Zhang6 | https://proceedings.iclr.cc/paper_files/paper/2025/hash/57ccc284de6f060c8dcde8f9352f70a5-Abstract-Conference.html | https://nano.xjtu.edu.cn/info/1040/3211.htm
51,1954,Phil Long,person,@philipmlong,1737,review,medium,remove,"Remove: no verified post-2024 affiliation, research, or current frontier-AI output.","The supplied X identity appears to be Philip M. Long, a substantive machine-learning researcher with recent work on sharpness-aware minimization and deep-network optimization. However, current activity is not established: his OpenReview profile lists his Google research-scientist role only through 2024, Google Scholar shows an unknown affiliation, and no post-2024 original research or current frontier-AI role was found. This warrants verification rather than a keep based on historical output.",https://openreview.net/profile?id=~Phil_Long1 | https://www.phillong.info/ | https://jmlr.org/papers/v25/23-1285.html | https://scholar.google.com/citations?hl=en&user=PVty8PUAAAAJ
52,1281,Niranjan,person,@b_niranjan,1674,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"The supplied X handle has no accessible public profile content, and searches do not resolve it to a specific person, employer, lab, or body of original frontier-AI work. A similarly named developer profile mentions a VLLM-hallucination metric, but no evidence links it to this X account.",https://x.com/b_niranjan | https://github.com/Niranjan-guru/
