rank,entity_id,name,kind,x_handles,combined_x_followers,model_decision,model_confidence,human_decision,human_reason,model_reason,evidence_urls
11,1372,Megan Quinn,person,@msquinn,63807,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","The supplied identity is a technology investor/operator associated with Spark Capital, not a frontier-AI lab, technical research, evaluation/safety organization, AI-native infrastructure company, or narrowly focused specialist-intelligence source. General venture investing does not meet the Registry’s frontier-AI signal threshold.",https://x.com/msquinn | https://www.sparkcapital.com/people/megan-quinn
12,3031,Nick Dobos,person,@nickadobos,53230,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Current public work is applied prompt engineering and indie app development. The available channel is mainly product commentary, model/tool first impressions, and prompt/app experiments—not sustained original frontier research, evaluations, or substantive AI-native technical intelligence.",https://nickdobos.com/ | https://threadreaderapp.com/user/NickADobos | https://github.com/nickdobos
13,958,Sarah Tavel,person,@sarahtavel,52459,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Tavel is currently a Benchmark venture partner and broad consumer/startup investor. Although she publishes some AI application commentary, her own newsletter is framed around general tech trends, company building, and startups—not sustained original frontier-AI research, evaluation, infrastructure, or narrowly focused specialist intelligence.",https://techcrunch.com/2025/04/29/sarah-tavel-benchmarks-first-woman-gp-transitions-to-venture-partner/ | https://www.sarahtavel.com/about | https://www.sarahtavel.com/sitemap/2025
14,2742,Dan Hollick,person,@danhollick,47504,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Hollick is currently a design engineer at Cursor, but available evidence centers on product/design work and his general-software reference book rather than original frontier-AI research, evaluations, infrastructure, or sustained specialist intelligence. His individual public output does not establish a recurring high-value frontier-AI signal.",https://x.com/danhollick | https://www.designdisciplin.com/p/daniel-hollick | https://www.makingsoftware.com/ | https://cursor.com/
15,1412,Anthony Goldbloom,person,@antgoldbloom,43145,remove,medium,keep,"Keep: Sumble publishes original job-post-based analysis of company GenAI investment, creating focused commercial intelligence beyond generic AI investing.","Goldbloom currently leads Sumble, an LLM/knowledge-graph sales-intelligence product, and is an AI-focused venture investor. Although he has published some data-driven GenAI commentary, current evidence does not establish a sustained stream of original frontier-AI research, evaluations, infrastructure work, or narrowly focused specialist intelligence sufficient for this registry.",https://techcrunch.com/2025/10/22/sumble-emerges-from-stealth-with-38-5m-to-bring-ai-powered-context-to-sales-intelligence/ | https://blog.sumble.com/about/ | https://blog.sumble.com/the-overlooked-genai-use-case/ | https://blog.sumble.com/companies-with-the-broadest-genai-focus/ | https://www.aixventures.com/fund-news
16,2568,Kyle Russell,person,@kylebrussell,26111,remove,medium,keep,"Keep: built a substantive, reproducible RLVR pipeline with environments, deterministic rewards, training, and evaluation artifacts useful to the AI team.","Russell’s current role is internal AI deployment and product tooling at mortgage-fintech Valon, not frontier-AI research or an AI-native technology company. His public CAP-RLVR legal-LLM project is a substantive personal experiment, but current evidence does not establish unusually influential research or a sustained stream of frontier-relevant intelligence sufficient for this selective registry.",https://kylebrussell.dev/ | https://kylebrussell.dev/resume.html | https://github.com/kylebrussell/cap-rlvr | https://huggingface.co/kylebrussell/cap-sft-qwen3-lora-30k
17,2404,sankalp,person,@dejavucoder,25813,remove,medium,keep,"Keep: repeatedly publishes current technical work on coding agents, prompt caching, context engineering, post-training, and evaluations with demonstrated practitioner reach.","Current evidence identifies Sankalp/dejavucoder as an independent applied-AI engineer and contract-oriented practitioner publishing technical tutorials and project notes. He is exploring RL, post-training, inference optimization, and evals, but there is no substantiated current frontier-lab role or recurring original research/evaluation output sufficient for this selective registry.",https://sankalp.bearblog.dev/ | https://sankalp.bearblog.dev/projects/ | https://github.com/sankalp1999 | https://sankalp.bearblog.dev/how-prompt-caching-works/
18,1072,Srinivas Narayanan,person,@snsf,24294,remove,medium,keep,Keep: only recently departed a frontier-lab CTO role and remains a key person recently outside OpenAI; retain until the next role and output are known.,The supplied X bio is stale: Narayanan announced his departure from OpenAI in April 2026 and said he would decide his next step after time in India. No current frontier-AI role or sustained original technical/intelligence output is established.,https://www.cnbc.com/2026/04/17/openai-executives-leave.html | https://www.ndtv.com/feature/indian-origin-openai-cto-srinivas-narayanan-quits-plans-to-spend-time-with-ageing-parents-in-india-11380513 | https://openai.com/index/openai-to-acquire-promptfoo/
19,2936,Chris Prucha,person,@chrisprucha,23004,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Current evidence identifies Prucha primarily as a former Notion and Origin (industrial 3D-printing) founder. The only identified AI connection is investing/commentary, while his current profile gives no substantive frontier-AI role, technical output, evaluation work, or specialist intelligence publication cadence.",https://x.com/chrisprucha | https://wellfound.com/p/icetraxx | https://annarborusa.org/news/emus-center-for-digital-engagement-hosts-the-age-of-ai-november-17/ | https://github.com/icetraxx
20,809,Lisha,person,@lishali88,18596,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Li is currently an a16z investment partner focused on frontier AI models and infrastructure, with prior experience founding Rosebud AI. However, current evidence establishes an investing role rather than sustained publication of original frontier-AI research, evaluations, or narrowly scoped specialist intelligence; AI-focused investing alone does not meet the registry threshold.",https://a16z.com/author/lisha-li/ | https://a16z.com/team/ | https://rosebud.ai/
21,1706,Sebastian Mallaby,person,@scmallaby,16997,remove,medium,keep,"Keep: current DeepMind biography plus repeated 2026 AI analysis provides original, lab-specific reporting and market context rather than occasional general commentary.","Mallaby is a broad international-economics fellow and journalist whose work spans policy, markets, geopolitics, and technology. His recent DeepMind biography and AI essays are substantial but appear to be a book-driven, topical strand rather than a sustained specialist output focused on original frontier-AI, technical, or infrastructure intelligence.",https://www.cfr.org/experts/sebastian-mallaby | https://www.cfr.org/experts/sebastian-mallaby/archive | https://www.penguin.co.nz/books/the-infinity-machine-9780241703557 | https://www.foreignaffairs.com/podcasts/ai-race-nobody-can-win
22,2968,yitong,person,@yitong,12004,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Yitong Zhang is currently identified as a cofounder/designer building Runner, an AI workplace-workflow product. Available evidence shows an AI-native productivity application, but not substantive original technical research, model/evaluation work, or repeated frontier-AI intelligence attributable to this individual; this is too close to conventional AI-enabled SaaS for this selective registry.",https://x.com/yitong | https://runner.now/ | https://www.garysguide.com/events/k93lxep/calendar | https://thefounderspress.com/runner-launches-ai-workspace-connecting-50-apps-to-complete-work/
23,1738,Carol E. Reiley,person,@robot_md,11300,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Reiley’s current identifiable role is leading DeepMusic.ai, a nonprofit focused on AI-and-arts creativity and community projects. Although she has relevant historical robotics/Drive.ai experience and a 2024 music-model collaboration, current evidence does not establish repeated publication of frontier-AI research, evaluations, models, infrastructure, or specialist investment intelligence.",https://www.deepmusic.ai/ | https://www.deepmusic.ai/team | https://engineering.jhu.edu/designcenter/designday/lecture-keynote/ | https://crfm.stanford.edu/2024/08/06/co-composition.html?idx=2 | https://scholar.google.com/citations?hl=en&user=C6dZZP4AAAAJ
24,2866,Simon Prince,person,@simonprinceai,10760,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Prince is currently affiliated with the University of Bath AI/ML group, but available current evidence centers on his deep-learning textbook and accompanying instructional materials rather than a sustained stream of new frontier models, evaluations, or technical research. His prior industry research-director role at RBC Borealis ended in 2021.",https://www.bath.ac.uk/research-groups/artificial-intelligence-and-machine-learning/ | https://mitpress.mit.edu/9780262377102/understanding-deep-learning/ | https://github.com/udlbook/udlbook | https://rbcborealis.com/news/understanding-deep-learning/
25,539,Victor Sanh,person,@sanhestpasmoi,9399,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Sanh has substantial prior Hugging Face/VLM research, but current evidence identifies him as an AI builder at Rilix, whose public product is a vertical customer-service agent for third-party logistics. Its public materials describe workflow automation rather than substantive frontier-model, evaluation, inference, or infrastructure research. Under the current-work standard, this is a conventional AI-enabled SaaS connection rather than a repeated frontier-intelligence source.",https://github.com/victorsanh | https://rilix.ai/ | https://rilix.ai/blog | https://arxiv.org/abs/2408.12637
26,2502,Tim Scarfe,person,@ecsquendor,8735,remove,medium,keep,"Keep: MLST is a sustained, in-depth technical AI interview source aimed at engineers and research scientists, with recurring frontier research and safety coverage.","Scarfe’s current work is as host/CEO of MLST, which describes itself as a media-production company and technical AI podcast, and CTO (Innovation) at XRAI, whose product is real-time transcription, translation, and an AI assistant for accessibility. The evidence does not establish sustained original frontier-model, evaluation, or infrastructure research sufficient for this selective registry.",https://www.mlst.ai/about | https://archive.mlst.ai/author/dr-tim-scarfe/ | https://xrai.glass/about/ | https://github.com/ecsplendid
27,1769,Arthur Juliani,person,@awjuliani,8294,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Juliani has credible past AI/RL work, including a 2024 NeurIPS paper, but his Microsoft Research postdoc ended in 2024. His current stated role is an IACS research consultant focused primarily on consciousness and human wellbeing; the remaining AI-agent social-inference work does not currently show repeated, substantive frontier-AI outputs sufficient for this selective registry.",https://awjuliani.github.io/assets/pdf/juliani_cv.pdf | https://advancedconsciousness.org/arthur-juliani/ | https://www.microsoft.com/en-us/research/publication/a-study-of-plasticity-loss-in-on-policy-deep-reinforcement-learning/ | https://awjuliani.substack.com/
28,2402,m_ric,person,@aymericroucher,8051,remove,medium,keep,Keep: recent substantive Hugging Face agent-framework and GUI-agent evaluation work plus a current AI-native founder role supports continuing technical signal.,"Roucher previously produced substantive agent-framework and GUI-agent evaluation work at Hugging Face, but current evidence identifies him as co-founder of Folio AI, a presentation-production copilot for PowerPoint and Google Slides. This is application-layer AI SaaS; there is no clear current evidence of recurring frontier research, evaluations, or technical intelligence sufficient for the Registry.",https://legrandcontinent.eu/fr/p/aymeric-roucher/ | https://get-folio.ai/ | https://huggingface.co/blog/smolagents | https://huggingface.co/blog/screensuite
29,1777,Oliver Habryka,person,@ohabryka,7817,remove,medium,keep,"Keep: leads Lightcone/LessWrong and publishes current AI-safety funding and ecosystem analysis, providing recurring safety-community intelligence.","Habryka currently leads Lightcone Infrastructure, which operates LessWrong, event/physical-space projects, and community infrastructure. Available current evidence shows adjacent AI-safety community and funding activity, but not repeated original frontier-AI research, evaluations, AI-native technical work, or specialist investment intelligence attributable to him.",https://www.lightconeinfrastructure.com/ | https://www.lesswrong.com/users/habryka4 | https://www.lesswrong.com/posts/Jh2xsoySxacQDJMwz/austin-and-oli-on-funding-and-incubating-projects
30,2508,Paul Calcraft,person,@paul_cal,6413,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Current evidence identifies Calcraft as an independent AI developer and Colectiv senior advisor who comments on AI and built a notable 2024 LLM-Pictionary demonstration. That is a one-off capability-testing project, not evidence of a sustained stream of frontier research, evaluations, lab activity, or AI-native technical intelligence; his public code portfolio is chiefly small, personal, or forked projects.",https://www.colectiv.tech/team | https://simonwillison.net/2024/Oct/26/llm-pictionary/ | https://techcrunch.com/2024/11/05/people-are-using-games-like-pictionary-to-benchmark-ai-now/ | https://github.com/paulcalcraft | https://x.com/paul_cal
31,984,Andrey Kurenkov,person,@andrey_kurenkov,6173,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Kurenkov currently builds an AI-enabled consumer game-creation product at Astrocade and runs Last Week in AI, a weekly AI-news summary/commentary outlet. The available evidence does not show sustained publication of original frontier-model research, evaluations, technical benchmarks, or specialist investment intelligence sufficient for this selective registry.",https://lastweekin.ai/about | https://www.astrocade.com/ | https://www.superdatascience.com/podcast/sds-997-how-this-ai-startup-hit-20m-users-no-moat-with-dr-andrey-kurenkov | https://lastweekin.ai/
32,1524,sophia,person,@cis_female,6090,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","The supplied X identity has no evidenced current connection to frontier AI, evaluations, AI-native technology, or focused semiconductor/compute intelligence. The only independently indexed activity located is a photo credit in general architecture reporting, which does not meet the Registry’s repeated-signal threshold.",https://x.com/cis_female | https://www.clarin.com/estados-unidos/temor-nueva-york-lujoso-rascacielos-96-pisos-podria-causar-lluvia-concreto_0_yBW9nTWI62.html
33,2243,evan sc / 柳爱华,person,@stitesclay,5960,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Current evidence indicates this is Evan Stites-Clayton, a General Partner at HF0. HF0 is a repeat-founder residency/accelerator; there is no evidence that this exact entity repeatedly publishes original frontier-AI research, evaluations, infrastructure work, or specialist intelligence. AI-focused investing and founder support alone do not meet the Registry threshold.",https://x.com/stitesclay | https://www.hf0.com/team | https://www.hf0.com/
34,2863,kyle morris,person,@kylejohnmorris,4909,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Morris has relevant prior AI-infrastructure experience as a Banana cofounder, but current evidence centers on DEMi and AGI House community/summit and hackathon organizing rather than repeated publication of original frontier models, research, evaluations, technical benchmarks, or specialist investment intelligence. This does not meet the Registry’s selective current-signal threshold.",https://demi.network/ | https://agihouse.ai/origins.html | https://www.banana.dev/blog/kyle-morris-a-new-booste-cofounder | https://kyle.af/
35,2159,nataliestaud,person,@nataliestaud,4811,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Resolved as Natalie Staudacher. She made substantive historical contributions at OpenAI, including GPT-4 work and Model Behavior, but current first-party evidence describes her as a former OpenAI staff member; no current frontier-AI role or sustained original technical/intelligence output from this channel was established.",https://forum.openai.com/public/events/how-chatgpt-helped-an-olympian-balance-work-life-and-training-6zrvqtphqa | https://openai.com/contributions/gpt-4/
36,2658,Brent Schooley,person,@heccbrent,3596,remove,medium,keep,Keep: current OpenAI Developer Experience work and direct Codex demonstrations provide attributable lab product and developer signal.,"Schooley appears to be a current OpenAI Developer Experience/video creator who produces developer-facing product demonstrations. Available evidence shows hands-on Codex examples and launch-video work, but not sustained original frontier research, evaluations, safety work, infrastructure analysis, or specialist investment intelligence; this is primarily technical evangelism/content creation.",https://x.com/heccbrent | https://unrollnow.com/status/2018455598267027894 | https://www.tweaktown.com/news/110467/elgato-stream-deck-plus-xl-shown-running-the-original-doom-game-with-controller/index.html
37,2474,beepy,person,@beepytown,3457,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","The supplied X handle matches Beepy Town, whose first-party site identifies its owner as comedic actor Justin Linville and promotes acting, stand-up, and comedy content. No current frontier-AI role, technical research, evaluation work, or specialist AI/infrastructure intelligence was found.",https://x.com/beepytown | https://www.beepytown.com/about | https://www.beepytown.com/media
38,3073,hecshzye,person,@hecshzye,3422,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Identity resolves to Hemanth Chandran, CEO of Handran, an EEG/neurotechnology company. Current public materials make product and on-device-AI claims, but do not establish repeated publication of substantive frontier-model, evaluation, safety, or infrastructure research; his public GitHub is chiefly small instructional/experimental ML projects. This is insufficient evidence of recurring frontier-AI intelligence signal.",https://github.com/hecshzye/ | https://handran.in/ | https://handran.in/research | https://handran.in/products/nh1-pro
39,2247,"Jaan Altosaar Li, PhD",person,@thejaan,2576,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Li has credible historical ML work, including ClinicalBERT, but current public materials primarily describe healthcare-specific LLM work, a health-access nonprofit, and AI teaching. The listed research output is largely from 2016–2020, with no clear evidence that this exact entity currently and repeatedly publishes frontier-AI research, evaluations, or technical intelligence useful to the Registry’s core audiences.",https://jaan.io/ | https://jaan.io/about/ | https://jaan.io/papers/ | https://openreview.net/profile?id=~Jaan_Altosaar1
40,2414,mei,person,@multiply_matrix,2410,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","The identified account presents as a personal AGI forecaster and cites a past timeline prediction, but current evidence shows no frontier-lab role, original research, evaluations, technical artifacts, or sustained specialist intelligence output meeting the Registry threshold.",https://x.com/multiply_matrix
41,2551,Tristan Zajonc,person,@tristanzajonc,2105,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Zajonc currently leads Continual, an enterprise platform for automating business operations with AI agents. Current first-party evidence presents a generic agent-automation product, while the available public footprint does not establish repeated original frontier-AI research, evaluations, model/inference infrastructure, or specialist investment intelligence produced by him.",https://tristanzajonc.com/ | https://continual.ai/ | https://github.com/tristanz
