reach_rank,entity_id,name,kind,followers_count,manual_decision,reason
32,2310,"Mark Zuckerberg",person,2038511,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
33,253,"Eric Schmidt",person,2036218,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
34,175,Balaji,person,1826352,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
35,2987,"Andrew Yang🧢⬆️🇺🇸",person,1762580,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
36,44,"Andrew Ng",person,1679125,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
37,487,"Kara Swisher",person,1678503,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
38,523,"Y Combinator",organization,1619267,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
39,320,"Bryan Johnson",person,1612980,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
40,197,"David Sacks",person,1585884,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
41,966,"Kevin Rose",person,1496875,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
42,881,"Chris Sacca 🇺🇸",person,1493616,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
43,2,"Google DeepMind",organization,1471284,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
44,417,@jason,person,1444198,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
45,1568,"Chris Anderson",person,1432871,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
46,2024,"𝖦𝗋𝗂𝗆𝖾𝗌 ⏳",person,1402691,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
47,36,"Demis Hassabis",person,1360030,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
48,895,"Kai-Fu Lee",person,1332949,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
49,2261,"dick costolo",person,1315835,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
50,934,marissamayer,person,1297156,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
51,87,"Patrick Collison",person,1276965,review,"Plausible direct relevance needs a closer identity or output check."
52,13,"Yann LeCun",person,1232902,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
53,1363,OM,person,1185532,review,"Plausible direct relevance needs a closer identity or output check."
54,244,"Nikita Bier",person,1181279,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
55,2215,"Eric Weinstein",person,1096363,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
56,3,DeepSeek,organization,1045735,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
57,2272,"Chris Bakke",person,1028430,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
58,558,a16z,organization,1012983,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
59,39,"Greg Brockman",person,1005155,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
60,248,"Palmer Luckey",person,955415,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
61,2269,"Vala Afshar",person,955053,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
62,2662,Stratechery,organization,941412,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
63,126,"Garry Tan",person,938311,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
64,328,"Chris Dixon",person,930604,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
65,173,"Reid Hoffman",person,915775,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
66,628,@levelsio,person,912237,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
67,1569,"Tim Urban",person,901170,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
68,2802,Vercel,organization,876224,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
69,1570,"Jason Goldman",person,874944,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
70,18,"Fei-Fei Li",person,849948,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
71,4,"Meta AI (FAIR / superintelligence)",organization,821681,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
72,2492,"Visual Studio Code",organization,805193,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
73,105,"Aravind Srinivas",person,797643,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
74,817,"Eric Topol",person,780487,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
75,70,"Hugging Face",organization,780275,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
76,892,"Sequoia Capital",organization,773913,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
77,264,"Bill Gurley",person,766322,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
78,14,"Ilya Sutskever",person,760669,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
79,2167,"Linda Yaccarino",person,753897,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
80,52,"Mira Murati",person,741620,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
81,182,"Mustafa Suleyman",person,734873,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
82,1572,"Trung Phan",person,729869,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
83,281,benahorowitz.eth,person,723475,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
84,1217,DHH,person,721788,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
85,166,"Vinod Khosla",person,719248,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
86,83,"François Chollet",person,703817,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
87,1573,"Noah Smith 🐇🇺🇸🇺🇦🇹🇼",person,703237,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
88,1449,"GREG ISENBERG",person,681511,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
89,2305,"Yuval Noah Harari",person,658047,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
90,403,"Guillermo Rauch",person,653228,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
91,597,"Fred Wilson",person,641215,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
92,714,"Brett Adcock",person,636058,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
93,2217,"Thomas (Tom) Lee (not drummer) FundstratDirect.com",person,632461,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
94,2086,Adam,person,623241,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
95,16,"Geoffrey Hinton",person,618251,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
96,456,"Drew Houston",person,601845,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
97,916,"Rowan Cheung",person,592752,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
98,448,"Robert Scoble",person,591179,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
99,2841,"Scott Galloway",person,586599,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
100,3074,"The All-In Podcast",organization,580158,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
