entity_id,name,kind,followers_count,model_decision,review_basis,reason
2214,"Brad Garlinghouse",person,1302951,remove,model_remove,"Brad Garlinghouse is a cryptocurrency executive best known for leading Ripple, with no clear frontier-AI relevance."
369,"Brian Chesky",person,1257969,remove,model_remove,"Brian Chesky is an Airbnb executive whose public identity has no clear, direct connection to frontier-AI research, engineering, or infrastructure."
2278,"Hayden Adams 🦄",person,1213983,remove,model_remove,"Hayden Adams is primarily a cryptocurrency entrepreneur associated with Uniswap, with no clear frontier-AI connection."
2878,"Alex Hormozi",person,1049642,remove,model_remove,"Alex Hormozi is primarily a business and entrepreneurship personality with no clear frontier-AI research, engineering, lab, or infrastructure connection."
2258,SBF,person,1001934,remove,model_remove,"SBF refers to Sam Bankman-Fried, a cryptocurrency executive with no clear frontier-AI connection."
2216,beeple,person,983933,remove,model_remove,"Beeple is primarily a digital artist and NFT creator, with no clear connection to frontier-AI research, engineering, labs, or infrastructure."
3092,"David Goggins",person,981761,remove,model_remove,"David Goggins is a retired Navy SEAL and endurance athlete with no clear connection to frontier AI research, labs, products, or infrastructure."
3086,"Ryan Holiday",person,930507,remove,model_remove,"Ryan Holiday is a self-help and Stoicism author with no clear connection to frontier-AI research, engineering, labs, or infrastructure."
1571,"Carl Pei",person,795206,remove,model_remove,"Carl Pei is primarily a consumer-electronics entrepreneur, with no clear public connection to frontier-AI research, infrastructure, or governance."
637,"Alexis Ohanian 🗽",person,774232,remove,model_remove,"Alexis Ohanian is primarily a technology investor and sports-team owner, with no clear frontier-AI research, engineering, or lab connection in the supplied profile."
1198,"Vlad Tenev",person,654434,remove,model_remove,"Vlad Tenev is primarily a fintech executive and has no clear, direct connection to frontier-AI research, labs, products, or infrastructure."
2314,"Austin Evans",person,650981,remove,model_remove,"Austin Evans is primarily a consumer-technology creator with no clear connection to frontier-AI research, labs, infrastructure, or governance."
1574,"Reed Hastings",person,649580,remove,model_remove,"Reed Hastings is primarily a Netflix cofounder and education philanthropist, with no clear direct connection to frontier-AI research, labs, infrastructure, or governance."
2687,"David Sinclair",person,625590,remove,model_remove,"This identity is primarily an aging and longevity researcher, with no clear connection to frontier AI labs, models, infrastructure, or governance."
2688,"Peter Attia",person,619836,remove,model_remove,"Peter Attia is primarily a physician and longevity-focused health communicator with no clear frontier-AI connection."
1389,"Chad Hurley",person,581675,remove,model_remove,"Chad Hurley is best known as YouTube’s co-founder and has no clear, substantive connection to frontier-AI research, labs, infrastructure, or governance."
639,"Daniel Ek",person,559567,remove,model_remove,"Daniel Ek is primarily a Spotify and Neko Health founder, with no clear direct connection to frontier-AI research, infrastructure, or governance."
586,"Martin Shkreli",person,554608,remove,model_remove,"Martin Shkreli has no clear, established connection to frontier AI research, labs, products, or infrastructure."
398,"Ryan Petersen",person,528861,remove,model_remove,"Ryan Petersen leads Flexport, a logistics company, with no clear direct connection to frontier AI research, infrastructure, or governance."
1575,"Mark Rober",person,503304,remove,model_remove,"Mark Rober is primarily a science and engineering educator whose public work has no clear, sustained connection to frontier AI."
2289,"Jonathan Morrison 🙋🏻‍♂️",person,500556,remove,model_remove,"Jonathan Morrison is primarily a consumer-technology reviewer, with no clear connection to frontier-AI research, labs, infrastructure, or governance."
2879,"Nick Huber",person,479357,remove,model_remove,"Nick Huber is primarily a real-estate investor and entrepreneur with no clear frontier-AI connection."
2290,"jon prosser",person,404431,remove,model_remove,"Jon Prosser is primarily a consumer-technology commentator focused on Apple and device news, with no clear frontier-AI relevance."
2273,"Sam Parr",person,377062,remove,model_remove,"Sam Parr is primarily a media and entrepreneurship personality without a clear, focused connection to frontier-AI research, engineering, labs, or infrastructure."
2274,"Smarter Every Day",organization,366679,remove,model_remove,"Smarter Every Day is a general science-education organization without a clear, focused connection to frontier AI research, labs, infrastructure, or governance."
1497,"Zachary Perret",person,361136,remove,model_remove,"Zachary Perret is primarily known as a fintech founder and has no clear direct connection to frontier AI research, labs, or infrastructure."
1582,"Sean Parker",person,337664,remove,model_remove,"Sean Parker is a general technology entrepreneur with no clear, direct connection to frontier-AI labs, research, products, or infrastructure."
2219,"Matt Levine",person,324633,remove,model_remove,"Matt Levine is primarily a financial journalist and valuation commentator, with no clear frontier-AI engineering, research, infrastructure, or governance role."
2153,"Tim Berners-Lee",person,318890,remove,model_remove,"Tim Berners-Lee is a foundational web inventor, but he has no clear direct role in frontier-AI research, engineering, labs, or infrastructure."
1448,"Eric Ries",person,301640,remove,model_remove,"Eric Ries is primarily a lean-startup author and entrepreneurship figure, with no clear direct connection to frontier AI research, engineering, labs, or infrastructure."
2222,"RYAN SΞAN ADAMS",person,276863,remove,model_remove,"Ryan Sean Adams is primarily a cryptocurrency and Ethereum commentator, with no clear connection to frontier AI labs, research, products, or infrastructure."
1585,"CGP Grey 🐝",person,266855,remove,model_remove,"CGP Grey is a general educational media creator without a clear, sustained connection to frontier AI research, labs, products, or infrastructure."
1587,"Anne Wojcicki",person,236750,remove,model_remove,"Anne Wojcicki is primarily a consumer genomics and biotechnology executive, with no clear connection to frontier-AI research, labs, or infrastructure."
691,"Antonio García Martínez (agm.eth)",person,225193,remove,model_remove,"This identity is primarily associated with crypto, startup growth, and Coinbase/Base rather than frontier-AI research, engineering, infrastructure, or governance."
2090,"Jimmy Wales",person,213971,remove,model_remove,"Jimmy Wales is primarily a Wikipedia founder and general technology entrepreneur, with no clear direct connection to frontier-AI research, labs, products, or infrastructure."
1096,"Eric Glyman",person,212417,remove,model_remove,"Eric Glyman is best known as a fintech entrepreneur and has no clear direct connection to frontier-AI research, products, infrastructure, or governance."
2673,"Joseph Wang",person,208554,remove,model_remove,"Joseph Wang is a central-banking commentator and author with no clear connection to frontier AI research, labs, products, or infrastructure."
1312,"Shayne Coplan 🦅",person,205871,remove,model_remove,"Shayne Coplan is primarily a crypto prediction-market entrepreneur with no clear connection to frontier AI research, labs, infrastructure, or governance."
1592,"Jeremy Stoppelman",person,185678,remove,model_remove,"Jeremy Stoppelman is primarily known as Yelp’s co-founder and CEO, with no clear frontier-AI connection."
2306,"Jenna Ezarik",person,175596,remove,model_remove,"Jenna Ezarik is a consumer-technology creator without a clear connection to frontier AI research, labs, infrastructure, or governance."
2643,"Robert A. Pape",person,169033,remove,model_remove,"Robert A. Pape is a political scientist focused on security and terrorism, with no clear connection to frontier AI research, engineering, labs, or infrastructure."
798,"Blake Scholl 🛫",person,164829,remove,model_remove,"Blake Scholl leads a supersonic aerospace company and has no clear frontier-AI connection."
2225,"Austin Rief ☕️",person,158518,remove,model_remove,"Austin Rief is primarily known as a business-media entrepreneur and has no clear, direct connection to frontier AI research, labs, or infrastructure."
2280,"Jonathan Blow",person,158010,remove,model_remove,"Jonathan Blow is primarily an independent video-game developer and has no clear connection to frontier-AI labs, research, products, or infrastructure."
1596,Smoke-away,person,151830,remove,model_remove,"This appears to be an unidentified personal account with no supplied or established connection to frontier AI."
3087,"Wes Kao 🏛",person,143740,remove,model_remove,"This identity focuses on leadership and online education rather than frontier-AI research, products, infrastructure, or governance."
1403,"Dan Romero",person,143498,remove,model_remove,"Dan Romero is primarily associated with Coinbase and the Farcaster social protocol, with no clear connection to frontier AI research, products, infrastructure, or governance."
2734,Catalin,person,132339,remove,model_remove,"This identity is associated with an open-source e-signature product rather than frontier AI research, infrastructure, labs, or governance."
930,"mark pincus",person,123127,remove,model_remove,"Mark Pincus is a consumer-internet entrepreneur and investor with no clear, direct connection to frontier AI research, infrastructure, or governance."
1371,"Brian Halligan",person,106363,remove,model_remove,"Brian Halligan is a software entrepreneur associated with HubSpot but has no clear direct connection to frontier-AI research, infrastructure, or governance."
2685,"Paul Grewal",person,102351,remove,model_remove,"Paul Grewal is a crypto-company legal executive with no clear connection to frontier AI labs, models, research, or developer infrastructure."
2028,"Frances Arnold",person,90691,remove,model_remove,"Frances Arnold is a prominent chemist and biotechnology researcher but has no clear frontier-AI connection for this registry."
2676,fejau,person,83237,remove,model_remove,"This is a crypto-media content leader and podcast host with no clear connection to frontier AI research, labs, products, or infrastructure."
2634,"Federico Viticci",person,80899,remove,model_remove,"Federico Viticci is an Apple-focused technology journalist and publisher with no clear frontier-AI connection."
2154,"Dom Esposito",person,72404,remove,model_remove,"Dom Esposito is primarily a consumer Apple technology creator, with no clear connection to frontier-AI research, labs, or infrastructure."
1617,"Eren Bali",person,70037,remove,model_remove,"Eren Bali is primarily known for founding Udemy and Carbon Health, with no clear frontier-AI research, infrastructure, or governance connection."
1514,"Matteo Franceschetti",person,60982,remove,model_remove,"Matteo Franceschetti is primarily associated with the sleep and wellness company Eight Sleep, with no clear frontier-AI relevance."
2880,"Saumil Jariwala",person,58558,remove,model_remove,"This profile focuses on private equity and small-business acquisitions, with no clear connection to frontier AI, AI engineering, or relevant infrastructure."
2032,"Daniel Litt",person,57908,remove,model_remove,"Daniel Litt is a mathematician without a clear connection to frontier AI research, labs, products, or infrastructure."
1631,"Mario Zechner",person,54280,remove,model_remove,"Mario Zechner is primarily known for game-development software and has no clear connection to frontier AI research, labs, or infrastructure."
2699,"Caleb Porzio ⚡️",person,52985,remove,model_remove,"This is a web-development tool creator whose profile shows no clear connection to frontier AI research, labs, models, or AI infrastructure."
3066,"Patrick Campbell",person,52892,remove,model_remove,"Patrick Campbell is a SaaS pricing and business-operations entrepreneur with no clear frontier-AI connection."
3081,Ghost,organization,50945,remove,model_remove,"Ghost is a general-purpose open-source publishing and membership platform with no clear frontier-AI focus."
2312,"Sonny Dickson",person,49465,remove,model_remove,"Sonny Dickson is primarily a consumer-electronics and Apple product leaker, with no clear frontier-AI research, lab, infrastructure, or governance connection."
2713,SIP,organization,44264,remove,model_remove,"SIP appears to be an iOS-focused consumer technology account with no clear connection to frontier AI research, labs, or infrastructure."
1644,"Eric Migicovsky",person,40640,remove,model_remove,"Eric Migicovsky is primarily associated with consumer hardware and messaging startups, with no clear frontier-AI connection."
2796,"Daily Python Tip 🐍🐧",organization,39784,remove,model_remove,"This is a general Python tips account with no clear focus on frontier AI, AI engineering, or related labs and infrastructure."
2717,"Rob Walling",person,39586,remove,model_remove,"Rob Walling is a SaaS entrepreneur, investor, and startup educator without a clear frontier-AI connection."
3015,"Hakim El Hattab",person,38642,remove,model_remove,"This identity is primarily a web-presentation and JavaScript-tooling creator with no clear frontier-AI connection."
2833,"John O'Nolan",person,38548,remove,model_remove,"John O'Nolan leads the Ghost publishing platform and has no clear connection to frontier-AI research, engineering, infrastructure, or governance."
2235,"Nathan Blecharczyk",person,35663,remove,model_remove,"Nathan Blecharczyk is an Airbnb cofounder with no clear public connection to frontier-AI research, labs, products, or infrastructure."
2675,"Quinn Thompson",person,31129,remove,model_remove,"This identity is associated with crypto investing and a finance podcast, with no clear connection to frontier AI research, engineering, labs, or infrastructure."
2686,Glenn,person,27552,remove,model_remove,"This appears to be a healthcare, technology investment, and economic-development profile with no clear frontier-AI connection."
2954,Somewhere.com,organization,25698,remove,model_remove,"Somewhere.com is a general offshore recruiting agency with no clear frontier-AI, research, infrastructure, or governance focus."
2961,mephisto,person,25235,remove,model_remove,"This identity is presented as a rapper with no clear connection to frontier AI research, engineering, labs, or infrastructure."
2666,"Ian Carroll",person,24428,remove,model_remove,"Ian Carroll is primarily a travel-points entrepreneur and security researcher, with no clear frontier-AI connection in the supplied profile."
2237,"Mathilde Collin",person,24394,remove,model_remove,"Mathilde Collin is a general SaaS entrepreneur associated with Front, with no clear connection to frontier-AI research, labs, infrastructure, or governance."
2238,"Scott Heiferman",person,22728,remove,model_remove,"Scott Heiferman is primarily known as the co-founder of Meetup, with no clear connection to frontier AI research, infrastructure, or governance."
2040,"Ben Silbermann",person,20774,remove,model_remove,"Ben Silbermann is primarily known as Pinterest’s cofounder and has no clear connection to frontier-AI research, labs, products, or infrastructure."
2476,"Gennady Korotkevich",person,20699,remove,model_remove,"Gennady Korotkevich is primarily a competitive programmer with no clear public connection to frontier AI research, labs, products, or infrastructure."
2674,"Tyler Neville",person,20589,remove,model_remove,"The profile identifies a macro-focused finance commentator and podcast co-host with no clear connection to frontier AI research, labs, infrastructure, or governance."
2703,"Tamer Oukour",person,11974,remove,model_remove,"This profile describes a marketing and brand designer with side-project coding, not a clearly frontier-AI researcher, engineer, leader, company, or focused technical publication."
2913,"Philipp Keller",person,11872,remove,model_remove,"The profile identifies Philipp Keller as an SEO-focused side builder with no clear connection to frontier AI, research, or relevant infrastructure."
2157,"David Kirtley",person,11282,remove,model_remove,"David Kirtley is primarily known for leading Helion Energy, a fusion company, with no clear direct connection to frontier AI."
3049,TinySeed,organization,10282,remove,model_remove,"TinySeed is a general SaaS founder fund and mentorship community with no clear frontier-AI focus."
2710,"Basil Halperin",person,7557,remove,model_remove,"This identity is an economics professor with no clear connection to frontier AI research, engineering, labs, or infrastructure."
2691,"James Potter (rephonic.com)",person,6615,remove,model_remove,"This identity is a general web-product builder focused on podcast, newsletter, Wi-Fi, and review tools with no clear frontier-AI connection."
1549,"Lucas Nestler",person,5084,remove,model_remove,"The handle strongly indicates a Clash gaming creator, with no supplied evidence of a frontier-AI connection."
1840,Jungwon,person,4533,remove,model_remove,"Jungwon appears to be an entertainment personality with no clear connection to frontier AI."
1846,"Andy Hertzfeld",person,4327,remove,model_remove,"Andy Hertzfeld is a prominent historical software engineer but has no clear direct connection to frontier-AI research, labs, products, or infrastructure."
2969,"Shaurya Shikhar",person,4120,remove,model_remove,"This identity focuses on social-media analytics and algorithms without a clear connection to frontier AI research, labs, products, or infrastructure."
2905,"Kevin Cannon",person,4038,remove,model_remove,"This identity is a product-design leader at general productivity software companies and has no clear frontier-AI connection."
2680,"Benjamin Houy",person,3500,remove,model_remove,"This identity is an indie software entrepreneur with no clear connection to frontier AI research, labs, infrastructure, or governance."
87,"Patrick Collison",person,1276965,remove,model_remove,"Patrick Collison's current primary role is leading Stripe; he has no operating role at Arc Institute and is not a recurring direct source of frontier-AI research or intelligence."
513,"Marc Benioff",person,3965274,remove,model_remove,"Marc Benioff's AI output is primarily Salesforce enterprise-product advocacy rather than original frontier-AI research, evaluation, infrastructure evidence, or specialist intelligence."
1363,OM,person,1185532,remove,model_remove,"Om Malik was a broad technology commentator rather than a concentrated frontier-AI source and is no longer an active source."
